No.,도서관 구분,도서관명,이용시간,휴관일,전화번호,홈페이지,자치구,주소,책이음,수정일
692,작은 도서관,구민회관작은도서관,"평일 : 10:00~17:00, 주말 : 휴관일","토,일,법정공휴일",02-2678-9997,https://www.ydplib.or.kr/small,영등포구,서울특별시 영등포구 국회대로 596 영등포구민회관 3층,참여,2021-08-28
1842,공공 도서관,구산동도서관마을,"평일 : 09:00~22:00, 주말 : 09:00~18:00","매주 월요일, 법정공휴일",02-357-0100,http://www.gsvlib.or.kr,은평구,서울특별시 은평구 연서로 13길 29-23,참여,
2642,작은 도서관,구의1동새마을작은도서관,월~금 9:30 ~ 17:30,"토,일,공휴일",02-454-2830,https://smalllib.gwangjin.go.kr/small/index.do,광진구,서울특별시 광진구 광나루로36길 56 구의1동주민센터 2층,참여,2021-09-13
291,작은 도서관,구의2동새마을작은도서관,"월·화·수·금 13:30~17:30, 목 09:30~17:30","토,일,공휴일",02-458-1380,https://smalllib.gwangjin.go.kr/small/index.do,광진구,서울특별시 광진구 천호대로136길 55 구의2동주민센터 2층,참여,
1397,공공 도서관,구의제3동도서관,"평일 : 09:00~18:00, 주말 : 09:00~17:00",매월둘째/넷째월요일및법정공휴일,02-454-6294,http://www.gwangjinlib.seoul.kr/,광진구,서울특별시 광진구 강변역로 17(구의동),참여,2021-08-28
1821,전문 도서관,국가인권위원회인권도서관,"평일 : 09:00~18:00, 주말 : 휴관일","토·일요일, 법정공휴일",02-2125-9680~3,library.humanrights.go.kr,중구,서울특별시 중구 삼일대로 340 나라키움 저동빌딩 11층,미참여,
1799,전문 도서관,국립고궁박물관도서실,"평일 : 10:00~12:00, 13:00~17:00, 주말 : 휴관일","토요일, 일요일, 공휴일",02-3701-7531,https://www.gogung.go.kr/library.do,종로구,서울특별시 종로구 효자로 12 국립고궁박물관 도서실,미참여,
1735,전문 도서관,국립국악원국악자료실,"평일 : 09:00~12:00, 13:00~17:30, 주말 :","토요일, 일요일, 법정공휴일",02-580-3081,http://www.gugak.go.kr/site/homepage/menu/viewMenu?menuid=001003004001,서초구,서울특별시 서초구 남부순환로 2364 국립국악원 국악박물관 306호,미참여,
1829,전문 도서관,국립국어원자료실,"평일 : 09:00~18:00, 주말 : 휴관일","토요일, 일요일, 법정공휴일",02-2669-9758,http://www.korean.go.kr/front/data/dataBookList.do?mn_id=48,강서구,"서울특별시 강서구 금낭화로 154, 3층",미참여,
1822,전문 도서관,국립극장공연예술자료실,"평일 : 10:00~12:00, 13:00~18:00(화~금요일, 공연예술자료실 1) 09:00~12:00, 13:00~18:00(월~금요일), 주말 : 10:00~12:00, 13:00~18:00(토~일요일, 공연예술자료실 1)","월요일, 1월 1일(공연예술자료실 1) 토요일, 법정공휴일(공연예술자료실 2)","02-2280-5827(자료실1), 4025~6(자료실 2)",http://archive.ntok.go.kr/,중구,"서울특별시 중구 장충단로 59 국립극장 공연예술박물관 1층(공연예술자료실 1), 해오름극장 4층(공연예술자료실 2)",미참여,
1798,전문 도서관,국립민속박물관자료실,"평일 : 09:00~12:00, 13:00~18:00, 주말 : 휴관일","토요일, 일요일, 법정공휴일",02-3704-3270,http://www.nfm.go.kr/home/subIndex/124.do,종로구,서울특별시 종로구 삼청로 37,미참여,
1721,전문 도서관,국립산림과학원도서관,"평일 : 09:00~12:00, 13:00~18:00, 주말 : 휴관일","토요일, 일요일, 공휴일",02-961-2586,http://know.nifos.go.kr/book/index.ax,동대문구,서울특별시 동대문구 회기로 57 국립산림과학원 임산공학연구동 1층,미참여,
3,국립 도서관,국립어린이청소년도서관,"평일 : 09:00~18:00, 주말 : 09:00~18:00","매월 둘째넷째 월요일, 일요일을 제외한 공휴일",02-3413-4800,http://www.nlcy.go.kr/,강남구,서울특별시 강남구 테헤란로7길 21,미참여,
1736,전문 도서관,국립외교원도서관,"평일 : 09:00~18:00, 주말 :","토요일, 일요일, 법정공휴일",02-3497-7664,http://www.mofa.go.kr/ifanslib.html,서초구,서울특별시 서초구 남부순환로 2572,미참여,
1703,전문 도서관,국립재활원재활연구소도서실,"평일 : 08:30~17:30, 주말 : 휴관일","토요일,일요일, 법정공휴일",02-901-1647,http://nrc.egentouch.com/main.do?action=main,강북구,서울특별시 강북구 삼각산로 58 국립재활원 재활연구소 3층,미참여,
1710,전문 도서관,국립정신건강센터의학정보실,"평일 : 08:30~17:30, 주말 : 휴관일","토요일, 일요일, 법정공휴일",02-2204-0340,http://lib.ncmh.go.kr/,광진구,서울특별시 광진구 용마산로 127 국립정신건강센터 5층,미참여,
1,국립 도서관,국립중앙도서관,"평일 : 09:00~18:00, 주말 : 09:00~18:00","둘째,넷째 월요일/법정공휴일(일요일제외)",02-535-4142,http://www.nl.go.kr,서초구,서울특별시 서초구 반포대로 201,미참여,
1777,전문 도서관,국립중앙박물관도서관,"평일 : 09:00~18:00, 주말 : 09:00~18:00","매주 월요일 및 공휴일, 기타(국립중앙박물관장이 지정한 날)",02-2077-9328,http://www.museum.go.kr/site/main/content/library_introduce,용산구,서울특별시 용산구 서빙고로 137,미참여,
1818,전문 도서관,국립중앙의료원의학정보실,"평일 : 08:30~17:30, 주말 :","토·일요일, 법정공휴일",02-2260-7055,http://lib.nmc.or.kr/,중구,서울특별시 중구 을지로 245,미참여,
1832,전문 도서관,국립한글박물관한글도서관,"평일 : 09:00~18:00, 주말 : 09:00~18:00",법정공휴일,02-2124-6461,http://nuri.hangeul.go.kr/,용산구,서울특별시 용산구 서빙고로 139 국립한글박물관,미참여,
2599,전문 도서관,국립현대미술관서울관디지털도서관,"평일 : 10:00~17:00, 주말 : 휴관일","토요일, 일요일, 법정공휴일",02-3701-9563,http://www.mmca.go.kr/publication/archiveMain.do,종로구,"서울특별시 종로구 삼청로 30, 국립현대미술관 서울관 2층",미참여,2021-08-28
1713,전문 도서관,국민체육진흥공단한국스포츠개발원도서관,"평일 : 09:00~12:00, 13:00~18:00, 주말 : 휴관일","토요일, 일요일, 법정공휴일",02-970-9524,http://library.sports.re.kr/,노원구,서울특별시 노원구 화랑로 727 국민체육진흥공단 한국스포츠개발원,미참여,
1776,전문 도서관,국방부군사편찬연구소정보자료실,"평일 : 08:30~17:30, 주말 : 휴관일","토요일, 일요일, 법정공휴일",02-709-3187,http://www.imhc.mil.kr/user/indexSub.action?codyMenuSeq=70395&siteId=imhc&menuUIType=top,용산구,서울특별시 용산구 이태원로 29 전쟁기념관 4층,미참여,
1781,전문 도서관,국방부도서실,"평일 : 09:00~18:00, 주말 : 휴관일","토요일, 일요일, 법정공휴일",02-748-5039,,용산구,서울특별시 용산구 이태원로 22,미참여,
1878,작은 도서관,국사봉숲속작은도서관,"평일 : 1~2월:10:00~17:00, 3~12월:10:00~18:00, 점심시간:13:00~14:00, 주말 : 휴관일","매주 일요일, 법정 공휴일",,http://lib.dongjak.go.kr,동작구,서울특별시 동작구 양녕로23길 27 (상도동),참여,
2446,작은 도서관,국제문학작은도서관,"월,목 18:00 ~ 19:00 / 화 19:00 ~ 20:00 / 수 20:00 ~ 21:00 / 금 : 10:00 ~ 11:00 / 토 13:00 ~ 17:00",일요일,,,광진구,"서울특별시 광진구 광나루로15길 41, 1층 101호, 102호",미참여,2021-08-28
1707,전문 도서관,국제백신연구소자료실,"평일 : 10:00~17:00, 주말 : 휴관일","토요일, 일요일, 법정공휴일",02-872-2801(내선108),http://www.ivi.int/,관악구,서울특별시 관악구 관악로 1 서울대학교 연구공원 내,미참여,
2,국립 도서관,국회도서관,"평일 : 09:00~18:00, 주말 : 09:00~17:00","매월 둘째, 넷째 토요일",02-788-4211,http://www.nanet.go.kr,영등포구,서울특별시 영등포구 의사당대로 1,미참여,
2755,공공 도서관,군자동도서관,"평일 : 09:00~20:00(하절기), 09:00~19:00(동절기), 주말 : 09:00~17:00",매월 첫째/셋째 화요일 및 법정공휴일,02-2049-2960,http://www.gwangjinlib.seoul.kr/,광진구,서울특별시 광진구 면목로 13 군자동복합청사 1층,참여,
299,작은 도서관,군자동새마을작은도서관,월~금 13:30~17:30,"토,일,공휴일",02-465-9082,https://smalllib.gwangjin.go.kr/small/index.do,광진구,서울특별시 광진구 군자로 151 군자동주민센터 3층,참여,
2136,공공 도서관,궁동어린이도서관,"평일 : 10:00~19:00, 주말 : 10:00~17:00",매주 화요일 및 법정 공휴일,02-2060-8229,http://lib.guro.go.kr,구로구,서울특별시 구로구 오리로 1352,참여,
2028,작은 도서관,그래그래작은도서관,"평일 : 13:00~18:00, 주말 : 토요일:11:00~15:00","일요일, 법정공휴일",0507-1328-3238,blog.naver.com/graegraelibrary,구로구,서울특별시 구로구 구일로8길 131,참여,2022-05-09
2537,작은 도서관,그루터기,"월,수,금 : 14:00~18:00, 화,목:11:00~17:00, 토 : 11:00~13:00","일요일,공휴일",02-2606-0289,,양천구,서울특별시 양천구 신정이펜2로 55,미참여,
2696,작은 도서관,그루터기작은도서관,"평일 : 09:00~18:00, 주말 : 휴관일","매주 토요일, 일요일",,,은평구,"서울특별시 은평구 은평로10길 17, 2층",미참여,2021-02-09
2734,작은 도서관,그린힐작은도서관,평일 : 09:00~18:00,"일요일,공휴일",02-375-2537,,서대문구,서울특별시 서대문구 연희로14길70,미참여,2021-08-28
2437,작은 도서관,그림숲 그림책작은도서관,"평일 : 09:00~18:00, 주말 : 10:00~17:00","토,일요일",02-876-4041,http://lib.gwanak.go.kr/menu/subpage_01/sub04.php,관악구,서울특별시 관악구 청룡9길 12-39 청룡동자치회관 1층,미참여,
2491,공공 도서관,그림책도서관,"평일 : 09:00~21:00, 주말 : 09:00~18:00","매주 월요일, 법정 공휴일, 임시 공휴일",02-3471-0995,http://spublic.seocholib.or.kr,서초구,서울특별시 서초구 명달로 150,참여,
2019,작은 도서관,글고운SH작은도서관,"평일 : (월, 화)13:00~17:00, (수~금)14:00~17:00 주말 : 휴관일","토요일, 일요일, 공휴일",070-8917-4505,,강서구,"서울특별시 강서구 공항대로 124, 1102동 1층",미참여,
144,작은 도서관,글고운작은도서관,"평일 : 10:00~16:00, 주말 : 휴관일","토, 일, 법정공휴일",02-475-5156,http://www.gdlibrary.or.kr/small/,강동구,"서울특별시 강동구 성내로 13, 2층(성내동) 성내1동 주민센터 1층",참여,
1623,작은 도서관,글놀이작은도서관,"평일 : 13:00~19:00, 주말 : 11:00~15:00","매주 수요일, 일요일",,,동대문구,서울특별시 동대문구 약령시로 67 2층,미참여,
1865,작은 도서관,글로벌나눔도서관,"평일 : 10:00~17:00 , 주말 : 휴관일","월, 토, 일, 법정공휴일",02-6406-5911,www.smalllibrary.org,구로구,서울특별시 구로구 경인로 619-30 3층,미참여,
2171,전문 도서관,글로벌지식협력단지 도서자료관,"평일 : 09:00~18:00, 주말 : 09:00~18:00","일요일, 법정공휴일",02-6312-4094,www.gkedc.go.kr,동대문구,서울특별시 동대문구 회기로 47 글로벌지식협력단지 교육동 1층,미참여,
1594,작은 도서관,글마루SH작은도서관,"평일 : 13:00~17:00, 주말 : 11:00~14:00","일요일, 공휴일",02-2064-0341,,강서구,서울특별시 강서구 마곡서1로 146,미참여,
137,작은 도서관,글마루작은도서관,"평일 : 13:00~17:00, 주말 : 휴관일","토, 일, 법정공휴일",070-8153-0560,http://www.gdlibrary.or.kr/small/,강동구,"서울특별시 강동구 아리수로78길 43-12, 2층(고덕동) 고덕2동주민센터 2층",참여,
884,공공 도서관,글마루한옥어린이도서관,"평일 : 10:00~19:00, 주말 : 10:00~17:00",매주 화요일 및 법정 공휴일,02-2615-8200,http://lib.guro.go.kr,구로구,서울특별시 구로구 고척로27바길 7,참여,
2539,작은 도서관,글바라기 (이펜1),"평일 : 14:00~18:00, 주말 : 휴관일","토,일요일",02-2601-0798,,양천구,서울특별시 양천구 신정이펜1로 99(신정동),미참여,
2055,작은 도서관,글벗SH작은도서관,"평일 : 10:00~15:00, 주말 : 휴관일","금,토,일요일",02-402-1881,https://cafe.naver.com/songpawirye23/15857,송파구,서울특별시 송파구 위례순환로 477 위례포레샤인아파트 2302동 1층,미참여,
2431,작은 도서관,글벗누리작은도서관,"평일 : 09:30~17:00, 주말 : 휴관","토요일, 일요일, 공휴일",02-2600-7962,http://lib.gangseo.seoul.kr/,강서구,서울특별시 강서구 방화대로 330 방화1동주민센터 2층 2,미참여,2022-06-09
1647,작은 도서관,글빛누리작은도서관,"평일 : 11:00~19:00, 주말 : 휴관일","토요일,일요일, 법정공휴일",070-7760-2233,http://gbnuri.egentouch.com/egentouch.web/main.do?action=main,성북구,서울특별시 성북구 삼선교로16길 35 삼선SK뷰아파트 105동,미참여,2021-08-28
2704,공공 도서관,글빛도서관,"평일 : 09:00~18:00, 주말 : 09:00~18:00","매주 월요일 / 일요일을 제외한 법정공휴일, 도서관사정에 의한 임시휴관일",02-6906-0559,https://www.sblib.seoul.kr/gbitlib/index.do,성북구,서울특별시 성북구 길음로7길 20,참여,2021-02-09
1303,작은 도서관,글빛작은도서관,"평일 : 10:30~17:30, 주말 : 10:30~15:00",일요일,02-938-1695,,노원구,서울특별시 노원구 중계로 144 민호프라자 4층 민호프라자 3층,미참여,
44,공공 도서관,글빛정보도서관,"평일 : 09:00~18:00, 주말 : 09:00~17:00",매주 월요일 및 법정 공휴일,02-878-7460,http://lib.gwanak.go.kr,관악구,서울특별시 관악구 관악로 30길 23,참여,2021-08-28
140,작은 도서관,글익는작은도서관,"평일 : 13:00~17:00, 주말 : 휴관일","토, 일, 법정공휴일",02-428-1643,http://www.gdlibrary.or.kr/small/,강동구,"서울특별시 강동구 고덕로 137, 3층(암사동) 암사3동주민센터 3층",참여,
1499,작은 도서관,글초롱작은도서관,"평일 : 14:00~18:00, 주말 : 11:00~15:00",매주 일요일,070-8635-1668,https://cafe.naver.com/cheonwang2,구로구,서울특별시 구로구 오리로 1102-10 천왕연지타운2단지 관리동,미참여,
141,작은 도서관,글향기작은도서관,"평일 : 10:00~17:00, 주말 : 휴관일","토, 일, 법정공휴일",02-470-3613,http://www.gdlibrary.or.kr/small/,강동구,"서울특별시 강동구 구천면로42길 59, 2층(천호동) 천호1동주민센터 2층",참여,
1284,작은 도서관,금강수목원아파트작은도서관,"평일 : 13:00~17:00, 주말 : 09:00~12:00",일요일,02-2689-1956,,구로구,"서울특별시 구로구 오리로 1197, 관리사무소 건물 2층",미참여,
377,작은 도서관,금빛도서관,"평일 : 11:00~20:00, 주말 : 13:00~18:00",없음,02-939-7712,,노원구,서울특별시 노원구 상계로26길 20 대동청솔아파트 상가3층 대동아파트 상가3층,미참여,
1771,전문 도서관,금융감독원자료실,"월,화,목 : 09:00~19:00, 수,금:09:00~18:00 주말 : 휴관일","토요일, 일요일, 법정공휴일",02-3145-5993,http://s1332.fss.or.kr/fss/kr/info/library/search_library.jsp,영등포구,서울특별시 영등포구 여의대로 38,미참여,2021-08-28
62,공공 도서관,금천구립가산도서관,"평일 : 07:00~22:00, 주말 : 07:00~22:00","매월 두번째, 네번째 월요일 및 법정 공휴일",02-865-6817~9,http://geumcheonlib.seoul.kr,금천구,서울특별시 금천구 가산로5길 43,참여,
101,공공 도서관,금천구립금나래도서관,"평일 : 09:00~22:00, 주말 : 09:00~22:00",매월 마지막주 일요일 및 법정 공휴일,02-2627-2992,http://geumcheonlib.seoul.kr,금천구,서울특별시 금천구 시흥대로73길 70,참여,
42,공공 도서관,금천구립독산도서관,"평일 : 07:00~22:00, 주말 : 07:00~22:00","매월 첫번째,세번째 월요일 및 법정 공휴일",02-863-9544,http://geumcheonlib.seoul.kr,금천구,서울특별시 금천구 독산로54길 114,참여,
